question_type,year,month,day,hour,outcome
relationship,2006,12,1,10.65,True
lawsuit,2011,11,11,19.033333333333335,True
lost_item,2024,11,30,9.683333333333334,True
lawsuit,2018,12,4,8.1,False
journey,2006,9,25,7.966666666666667,True
job,2006,3,1,7.633333333333333,True
health,2008,12,14,12.75,True
job,2019,10,5,1.55,False
journey,2005,3,5,4.066666666666666,False
relationship,2018,10,13,11.066666666666666,False
job,2001,5,25,0.65,False
lost_item,2016,7,10,6.4,False
health,2017,11,27,7.766666666666667,False
relationship,2021,10,22,1.2166666666666668,True
health,2017,5,20,12.666666666666666,True
health,2010,11,3,18.916666666666668,True
journey,2009,10,6,21.966666666666665,True
job,2010,3,27,22.883333333333333,True
lawsuit,2001,9,3,6.066666666666666,False
lost_item,2007,9,10,5.633333333333333,False
job,2013,2,10,5.783333333333333,True
health,2012,7,12,17.516666666666666,False
lawsuit,2005,12,6,21.4,True
relationship,2015,12,27,2.4333333333333336,False
health,2009,10,21,1.55,False
journey,2001,11,24,12.833333333333334,True
journey,2020,4,5,22.433333333333334,False
journey,2020,12,8,12.25,False
relationship,2010,9,30,16.466666666666665,False
journey,2009,12,9,10.266666666666667,True
lost_item,2014,9,1,14.933333333333334,False
journey,2004,5,10,3.95,False
lost_item,2017,9,28,15.083333333333334,True
health,2010,3,31,17.916666666666668,False
relationship,2020,3,6,16.783333333333335,False
relationship,2003,10,17,23.7,True
job,2014,11,21,20.5,True
lost_item,2016,1,19,1.2833333333333332,True
lost_item,2013,6,20,20.55,True
journey,2018,12,2,8.783333333333333,False
journey,2017,11,23,0.35,True
job,2005,3,8,18.616666666666667,True
lost_item,2023,10,16,22.616666666666667,False
lawsuit,2012,3,3,0.4,True
lost_item,2010,4,9,23.616666666666667,True
lost_item,2016,4,4,7.0,True
relationship,2016,8,4,13.416666666666666,False
health,2018,6,28,23.0,False
relationship,2024,5,19,15.55,True
relationship,2001,5,29,18.566666666666666,False
job,2001,9,19,1.9166666666666665,True
lost_item,2000,1,27,6.616666666666667,False
journey,2023,1,20,10.85,True
lawsuit,2005,3,27,11.083333333333334,False
lawsuit,2004,3,20,10.466666666666667,True
lawsuit,2012,4,26,20.383333333333333,False
journey,2008,1,4,10.1,True
lawsuit,2001,4,21,15.283333333333333,True
relationship,2001,9,22,1.45,True
relationship,2014,1,20,19.583333333333332,True
journey,2002,8,16,17.566666666666666,True
lost_item,2014,2,27,15.85,False
lawsuit,2013,9,13,3.4,False
relationship,2003,8,9,3.8,True
lawsuit,2003,8,5,2.3666666666666667,False
journey,2009,4,20,18.45,True
journey,2016,5,3,19.5,True
health,2017,9,24,20.433333333333334,False
job,2022,7,6,12.316666666666666,False
health,2014,8,16,14.85,True
lost_item,2000,9,14,8.4,False
relationship,2014,8,5,5.8,True
lost_item,2018,8,19,22.0,False
health,2022,2,26,17.3,True
lawsuit,2016,12,26,11.2,True
relationship,2020,12,21,19.316666666666666,True
health,2004,6,27,16.766666666666666,False
lost_item,2010,1,27,18.683333333333334,True
journey,2016,7,17,15.333333333333334,True
lost_item,2012,7,7,16.4,False
lost_item,2013,4,2,4.166666666666667,True
health,2014,4,13,18.383333333333333,False
health,2013,5,1,3.5666666666666664,True
health,2003,5,19,1.8,False
job,2024,8,26,4.7,False
journey,2003,12,16,0.8666666666666667,True
lawsuit,2004,11,15,15.683333333333334,True
relationship,2012,1,21,8.666666666666666,False
lawsuit,2007,4,2,21.233333333333334,True
lost_item,2007,11,30,4.833333333333333,False
relationship,2009,2,11,9.916666666666666,True
relationship,2004,12,25,11.65,True
relationship,2011,4,4,23.466666666666665,True
relationship,2019,11,13,21.033333333333335,False
lawsuit,2011,10,17,13.216666666666667,True
health,2014,4,29,15.083333333333334,False
health,2020,4,29,5.266666666666667,True
job,2023,1,28,14.133333333333333,False
lawsuit,2023,1,3,12.533333333333333,False
journey,2018,3,31,6.3,True
lawsuit,2023,4,22,10.55,False
health,2008,12,31,11.283333333333333,True
journey,2003,10,21,14.583333333333334,False
job,2013,3,29,20.65,True
job,2001,7,18,11.116666666666667,False
health,2013,5,2,7.05,False
health,2004,4,27,2.3,True
health,2003,2,5,2.2,True
lost_item,2006,11,29,8.25,True
journey,2023,8,9,16.933333333333334,False
lawsuit,2010,11,22,18.066666666666666,False
health,2012,10,24,16.05,False
relationship,2002,2,28,3.0833333333333335,True
lost_item,2003,2,19,7.0,True
journey,2002,3,27,12.75,True
journey,2007,2,4,15.583333333333334,False
lawsuit,2009,6,5,20.783333333333335,False
health,2003,10,19,0.8166666666666667,True
job,2014,9,27,0.5666666666666667,False
relationship,2020,2,12,21.233333333333334,True
relationship,2014,8,12,14.5,False
lawsuit,2023,6,29,8.016666666666667,True
health,2020,4,1,20.316666666666666,False
lost_item,2001,10,23,11.1,True
health,2009,3,6,11.983333333333333,True
relationship,2014,5,4,10.766666666666667,False
job,2015,9,23,15.316666666666666,False
lawsuit,2020,9,24,20.2,False
relationship,2006,12,4,22.166666666666668,False
health,2024,3,30,11.2,False
health,2024,7,1,20.533333333333335,False
lost_item,2022,2,13,4.95,True
lost_item,2000,5,30,16.783333333333335,False
lawsuit,2012,5,27,12.066666666666666,True
relationship,2017,8,2,17.583333333333332,True
lawsuit,2007,1,5,14.833333333333334,False
relationship,2020,5,29,0.65,False
lost_item,2023,10,8,23.95,True
health,2008,1,12,19.183333333333334,False
lost_item,2017,1,26,11.4,True
health,2015,6,12,10.283333333333333,False
relationship,2006,6,3,18.733333333333334,True
lawsuit,2001,11,13,13.683333333333334,False
lawsuit,2003,3,7,19.283333333333335,True
relationship,2016,12,3,15.016666666666667,False
health,2003,6,11,8.083333333333334,False
health,2010,8,13,13.583333333333334,True
job,2014,6,10,15.983333333333333,False
lawsuit,2006,6,25,9.133333333333333,True
health,2020,2,26,22.866666666666667,False
lawsuit,2016,3,27,19.9,True
relationship,2014,8,1,21.5,False
health,2004,11,29,3.3833333333333333,True
lawsuit,2021,9,14,16.733333333333334,False
journey,2022,3,20,3.05,False
lost_item,2007,4,6,15.966666666666667,True
relationship,2024,2,25,9.85,True
lawsuit,2013,3,6,19.016666666666666,True
journey,2010,3,5,20.5,True
lawsuit,2004,1,15,22.616666666666667,False
lawsuit,2011,11,22,17.683333333333334,False
lost_item,2000,4,29,16.95,False
relationship,2013,5,19,15.116666666666667,False
journey,2020,4,24,0.1,True
health,2001,9,16,11.15,False
lost_item,2020,1,22,4.083333333333333,False
lost_item,2011,10,31,11.65,False
health,2007,10,3,13.566666666666666,True
lost_item,2022,2,13,19.983333333333334,False
journey,2016,1,10,1.9,False
lost_item,2010,3,30,3.3666666666666667,False
job,2007,2,12,7.933333333333334,True
lost_item,2011,7,9,8.766666666666667,False
lost_item,2010,11,14,9.65,False
lawsuit,2024,8,20,14.9,False
journey,2004,3,20,10.633333333333333,True
relationship,2020,3,17,1.0166666666666666,True
lawsuit,2017,6,29,8.066666666666666,False
lawsuit,2016,9,15,3.7333333333333334,True
lost_item,2001,5,27,0.7666666666666667,False
lost_item,2021,4,21,20.033333333333335,False
relationship,2003,1,1,21.483333333333334,False
health,2009,8,1,1.5666666666666667,True
journey,2008,1,3,22.266666666666666,False
health,2010,7,3,7.766666666666667,True
lost_item,2009,1,6,12.416666666666666,False
relationship,2015,8,17,12.466666666666667,False
lost_item,2024,11,22,17.883333333333333,True
journey,2020,8,19,1.8166666666666667,True
lost_item,2006,10,17,17.433333333333334,False
lawsuit,2001,4,29,7.35,False
job,2002,5,6,9.05,False
job,2016,1,16,22.1,False
lawsuit,2015,7,26,8.1,True
relationship,2016,7,2,23.0,True
relationship,2019,8,20,16.083333333333332,True
lost_item,2012,10,14,9.866666666666667,True
job,2015,8,26,14.25,True
job,2001,7,16,8.216666666666667,False
relationship,2023,7,1,15.6,True
health,2011,2,17,20.233333333333334,True
relationship,2024,2,27,11.7,True
job,2021,10,24,23.466666666666665,True
health,2007,11,6,1.95,True
job,2021,5,7,19.083333333333332,False
health,2018,4,15,17.1,True
lost_item,2015,2,26,17.216666666666665,False
lost_item,2011,6,25,4.616666666666667,False
journey,2006,5,17,16.166666666666668,False
job,2021,8,9,1.6666666666666665,True
health,2009,12,15,5.95,False
relationship,2019,6,16,9.583333333333334,False
health,2022,4,23,1.9833333333333334,True
relationship,2021,9,8,16.766666666666666,False
lost_item,2013,8,17,19.816666666666666,True
lawsuit,2022,8,8,8.183333333333334,False
lost_item,2024,7,21,16.95,False
health,2009,6,23,15.166666666666666,True
lawsuit,2001,8,5,7.75,False
relationship,2008,1,17,10.116666666666667,True
lawsuit,2020,12,4,1.6166666666666667,True
lawsuit,2001,12,31,10.583333333333334,False
journey,2008,1,31,23.633333333333333,True
health,2013,11,12,1.45,False
health,2005,5,5,21.6,False
relationship,2013,6,18,22.783333333333335,False
journey,2001,3,22,10.566666666666666,True
lost_item,2020,8,28,15.016666666666667,True
relationship,2013,10,16,20.9,True
lost_item,2009,10,2,12.0,False
job,2023,2,19,1.5166666666666666,False
health,2011,11,25,13.4,True
lost_item,2002,8,28,16.566666666666666,False
job,2023,12,25,16.383333333333333,True
job,2024,10,24,19.816666666666666,False
journey,2011,8,23,16.783333333333335,True
journey,2022,2,11,2.216666666666667,False
journey,2022,9,1,15.616666666666667,False
job,2004,3,20,3.3,False
lawsuit,2019,7,3,11.466666666666667,False
lawsuit,2010,9,30,21.45,False
health,2017,1,1,5.833333333333333,True
lawsuit,2000,2,9,18.116666666666667,True
health,2011,3,23,21.166666666666668,True
lawsuit,2016,9,27,14.733333333333333,False
job,2003,5,17,8.266666666666667,False
journey,2017,12,12,13.383333333333333,True
journey,2003,4,16,7.283333333333333,True
lawsuit,2001,12,5,20.816666666666666,True
job,2010,10,20,14.5,True
job,2001,11,6,16.683333333333334,False
lawsuit,2008,5,1,22.75,False
health,2023,1,2,20.483333333333334,False
lost_item,2023,9,15,21.516666666666666,False
relationship,2006,12,14,5.25,True
health,2002,3,25,23.1,False
job,2024,7,25,1.5833333333333335,True
lawsuit,2006,7,5,3.95,False
lawsuit,2009,4,23,15.25,False
lawsuit,2009,8,25,1.3833333333333333,False
lawsuit,2016,6,13,7.233333333333333,False
health,2015,2,7,14.0,False
job,2017,1,24,15.55,False
journey,2009,4,8,17.266666666666666,True
journey,2005,12,21,4.05,False
lawsuit,2016,2,14,15.2,True
lawsuit,2023,5,25,16.316666666666666,True
lost_item,2019,8,31,17.1,True
lawsuit,2010,1,6,19.966666666666665,False
journey,2000,6,20,13.95,True
lawsuit,2005,9,23,3.5166666666666666,True
health,2011,7,3,7.15,False
relationship,2000,2,29,14.5,False
lost_item,2005,2,16,20.366666666666667,True
lost_item,2022,7,2,18.083333333333332,False
job,2016,12,10,22.533333333333335,True
lost_item,2013,12,25,14.5,True
lawsuit,2022,1,27,6.533333333333333,True
job,2016,9,3,20.033333333333335,False
journey,2016,3,15,17.283333333333335,True
lost_item,2013,4,13,9.65,True
lost_item,2002,5,21,6.7,False
health,2010,12,25,3.4333333333333336,True
relationship,2011,11,9,2.2333333333333334,True
health,2000,2,7,21.166666666666668,True
job,2023,10,12,6.866666666666667,False
health,2017,6,17,16.85,False
health,2010,10,27,2.7333333333333334,False
lawsuit,2001,2,4,20.583333333333332,False
journey,2011,11,27,16.583333333333332,False
health,2002,4,28,11.966666666666667,False
relationship,2017,1,23,4.1,True
lost_item,2001,5,24,10.033333333333333,False
lost_item,2010,10,9,11.15,True
relationship,2018,6,11,20.15,True
journey,2001,8,23,7.65,False
relationship,2007,10,18,4.716666666666667,True
relationship,2001,3,17,8.35,False
lost_item,2007,3,6,14.816666666666666,True
health,2004,8,8,22.5,False
lawsuit,2014,9,30,8.65,False
lawsuit,2018,5,25,0.4,True
health,2014,12,29,13.816666666666666,True
journey,2017,5,16,15.366666666666667,False
job,2014,1,11,21.216666666666665,False
lawsuit,2004,9,24,5.933333333333334,True
lost_item,2003,11,30,5.45,False
journey,2008,6,6,7.55,False
health,2018,10,28,14.35,False
lost_item,2011,11,4,11.0,True
lawsuit,2021,2,2,19.383333333333333,True
health,2002,12,7,15.683333333333334,True
relationship,2011,3,26,0.8333333333333334,False
journey,2013,12,3,13.883333333333333,False
health,2005,3,16,10.083333333333334,False
job,2007,7,15,9.3,False
lawsuit,2003,5,29,18.083333333333332,False
relationship,2022,8,13,19.283333333333335,False
journey,2006,8,24,4.8,False
relationship,2011,5,28,4.55,False
relationship,2003,10,24,8.783333333333333,True
journey,2000,8,27,11.516666666666667,False
lost_item,2001,3,29,2.283333333333333,False
relationship,2018,2,10,8.616666666666667,False
relationship,2018,10,18,21.883333333333333,False
relationship,2022,2,25,20.15,True
health,2013,6,13,10.283333333333333,True
job,2008,10,25,6.5,False
job,2016,8,25,21.616666666666667,True
journey,2013,1,2,4.283333333333333,False
relationship,2017,7,28,12.55,True
lost_item,2006,8,2,8.65,False
lost_item,2019,2,27,6.883333333333333,True
lost_item,2015,5,7,15.066666666666666,True
journey,2011,11,29,4.316666666666666,True
health,2005,1,17,4.733333333333333,True
health,2005,1,18,20.65,True
journey,2016,2,7,8.166666666666666,True
journey,2010,2,28,19.05,False
job,2024,2,8,19.283333333333335,True
health,2017,6,15,0.0,True
relationship,2011,10,29,18.266666666666666,False
health,2003,9,22,15.416666666666666,True
lawsuit,2007,8,15,8.833333333333334,False
lawsuit,2016,10,9,16.95,True
lawsuit,2018,9,11,4.266666666666667,True
job,2018,12,8,6.233333333333333,True
lost_item,2022,8,18,3.4833333333333334,False
journey,2001,5,4,0.9666666666666667,True
lost_item,2004,4,13,17.066666666666666,False
journey,2001,10,1,5.983333333333333,True
relationship,2009,5,9,1.85,True
relationship,2021,7,31,8.083333333333334,True
job,2006,6,2,6.533333333333333,True
health,2023,11,14,5.866666666666667,False
lawsuit,2020,4,10,23.45,True
lost_item,2003,9,16,2.35,False
journey,2023,11,24,1.6666666666666665,True
lost_item,2008,6,9,15.366666666666667,False
relationship,2004,12,25,20.6,True
journey,2003,6,28,10.766666666666667,True
job,2009,5,9,10.25,False
journey,2002,10,4,7.216666666666667,True
lawsuit,2011,5,8,16.283333333333335,False
lost_item,2024,7,6,9.766666666666667,False
lawsuit,2007,6,6,20.65,True
relationship,2006,2,13,14.816666666666666,True
journey,2015,12,13,13.383333333333333,True
relationship,2016,2,27,15.416666666666666,False
lawsuit,2003,5,26,19.783333333333335,False
health,2006,1,29,0.4666666666666667,True
job,2011,1,12,16.066666666666666,False
lawsuit,2004,11,18,13.033333333333333,False
journey,2014,11,17,16.133333333333333,False
lawsuit,2022,2,22,2.9333333333333336,False
health,2011,10,17,8.083333333333334,True
lawsuit,2014,5,3,12.533333333333333,True
journey,2006,8,22,15.516666666666667,True
relationship,2006,9,19,16.4,True
health,2012,6,16,12.233333333333333,True
journey,2006,4,23,10.166666666666666,False
health,2004,11,17,3.5,True
relationship,2012,5,31,15.95,True
job,2019,9,30,12.783333333333333,False
lost_item,2021,8,8,20.85,True
lawsuit,2014,6,3,18.266666666666666,False
lost_item,2002,6,21,15.65,False
relationship,2011,6,19,5.566666666666666,True
relationship,2009,5,22,11.883333333333333,False
journey,2020,11,22,20.966666666666665,False
health,2018,7,13,1.1166666666666667,True
journey,2015,5,17,8.25,False
lost_item,2024,8,12,5.133333333333334,False
lawsuit,2024,11,18,8.466666666666667,False
journey,2007,3,17,12.6,True
health,2015,9,11,22.75,False
journey,2012,5,18,17.133333333333333,True
relationship,2012,12,14,19.15,False
lost_item,2003,10,4,8.65,True
journey,2010,11,17,19.266666666666666,False
job,2001,4,27,0.7666666666666667,True
lawsuit,2010,9,4,15.466666666666667,False
lost_item,2015,12,24,18.75,True
health,2001,2,8,19.633333333333333,False
relationship,2021,12,19,7.916666666666667,True
health,2003,10,23,10.4,False
relationship,2023,1,1,3.7,False
health,2013,9,16,16.116666666666667,True
journey,2022,7,6,7.2,True
lawsuit,2006,1,16,21.616666666666667,True
health,2014,4,11,23.55,False
lawsuit,2000,1,10,21.4,False
job,2001,12,15,23.283333333333335,True
job,2017,6,12,5.8,False
health,2012,8,12,15.5,False
lawsuit,2007,7,3,7.316666666666666,False
journey,2015,9,28,11.55,True
health,2004,10,4,13.283333333333333,False
journey,2013,9,19,10.1,True
lawsuit,2008,1,16,13.866666666666667,False
lost_item,2000,1,11,21.966666666666665,True
journey,2018,2,27,18.716666666666665,False
lawsuit,2013,9,25,10.183333333333334,False
lawsuit,2023,5,19,17.583333333333332,True
relationship,2004,11,21,8.616666666666667,True
health,2023,11,16,11.6,False
journey,2024,9,24,0.45,False
health,2017,9,24,7.65,False
lost_item,2022,11,8,15.366666666666667,True
relationship,2020,7,21,4.75,False
health,2021,1,22,3.3666666666666667,True
lawsuit,2017,9,25,16.683333333333334,True
health,2006,10,9,16.816666666666666,False
health,2001,11,4,8.983333333333333,False
journey,2020,12,22,20.15,False
journey,2019,2,28,14.866666666666667,True
job,2020,6,26,10.216666666666667,True
health,2002,4,3,8.15,False
health,2021,12,16,5.5,True
lawsuit,2019,9,24,0.3,True
relationship,2009,12,26,21.516666666666666,True
health,2002,1,27,13.916666666666666,False
job,2016,6,5,9.166666666666666,True
health,2017,5,15,18.083333333333332,True
relationship,2004,10,5,18.266666666666666,False
lost_item,2019,4,18,4.45,False
lost_item,2019,9,24,22.25,True
lawsuit,2011,8,30,19.716666666666665,False
lawsuit,2005,7,10,13.25,False
lawsuit,2004,10,30,11.25,False
health,2014,12,10,13.783333333333333,True
journey,2010,8,18,3.7,True
lawsuit,2019,6,6,21.35,False
journey,2002,4,8,21.05,False
job,2014,6,9,1.9666666666666668,True
journey,2000,7,18,9.35,True
job,2019,11,5,12.016666666666667,True
relationship,2010,4,4,10.4,True
job,2012,7,7,9.316666666666666,True
job,2022,10,14,21.2,True
relationship,2009,1,1,14.4,True
lawsuit,2019,4,18,4.7,True
lost_item,2000,6,19,5.5,False
journey,2010,5,10,16.483333333333334,False
health,2016,8,22,15.416666666666666,False
job,2010,10,1,4.75,False
relationship,2015,5,1,13.15,False
lawsuit,2009,5,6,19.366666666666667,False
job,2005,11,16,2.3833333333333333,False
lost_item,2013,2,12,4.966666666666667,True
lawsuit,2011,7,3,0.7666666666666667,False
relationship,2005,10,10,9.633333333333333,True
health,2003,9,17,1.0333333333333334,True
lawsuit,2002,9,17,7.516666666666667,False
journey,2012,4,4,4.716666666666667,True
relationship,2011,6,11,17.183333333333334,False
lost_item,2020,7,4,3.3666666666666667,True
journey,2014,11,28,9.666666666666666,True
lawsuit,2003,4,22,16.516666666666666,True
lawsuit,2008,3,20,12.416666666666666,False
lawsuit,2012,11,12,5.25,False
health,2013,12,24,8.25,True
lost_item,2007,6,13,2.5833333333333335,False
relationship,2000,4,2,7.766666666666667,False
relationship,2008,1,19,12.866666666666667,True
journey,2020,12,7,5.533333333333333,False
journey,2010,3,8,23.3,True
health,2021,7,26,17.083333333333332,True
job,2014,10,30,14.516666666666667,False
lawsuit,2003,11,6,10.25,False
relationship,2022,1,10,7.916666666666667,True
relationship,2015,4,24,10.333333333333334,False
journey,2016,10,25,9.65,False
relationship,2001,2,8,19.483333333333334,False
lawsuit,2001,2,26,1.6166666666666667,False
job,2008,4,27,4.05,False
