name,birth_date,profession,sign,element
Albert King,1923-04-25 00:00:00,performer,Taurus,Earth
Freddie King,1934-09-03 00:00:00,performer,Virgo,Earth
Rory Gallagher,1948-03-02 00:00:00,performer,Pisces,Water
Gary Moore,1952-04-04 00:00:00,performer,Aries,Fire
Jeff Beck,1944-06-24 00:00:00,performer,Cancer,Water
Eddie Van Halen,1955-01-26 00:00:00,performer,Aquarius,Air
Dimebag Darrell,1966-08-20 00:00:00,performer,Leo,Fire
Lemmy Kilmister,1945-12-24 00:00:00,performer,Capricorn,Earth
Albert Einstein,1879-03-14 00:00:00,scientist,Pisces,Water
Isaac Newton,1643-01-04 00:00:00,scientist,Capricorn,Earth
Charles Darwin,1809-02-12 00:00:00,scientist,Aquarius,Air
Marie Curie,1867-11-07 00:00:00,scientist,Scorpio,Water
Nikola Tesla,1856-07-10 00:00:00,scientist,Cancer,Water
Thomas Edison,1847-02-11 00:00:00,scientist,Aquarius,Air
Stephen Hawking,1942-01-08 00:00:00,scientist,Capricorn,Earth
Richard Feynman,1918-05-11 00:00:00,scientist,Taurus,Earth
Carl Sagan,1934-11-09 00:00:00,scientist,Scorpio,Water
Alan Turing,1912-06-23 00:00:00,scientist,Cancer,Water
Ada Lovelace,1815-12-10 00:00:00,scientist,Sagittarius,Fire
Galileo Galilei,1564-02-15 00:00:00,scientist,Aquarius,Air
Johannes Kepler,1571-12-27 00:00:00,scientist,Capricorn,Earth
Niels Bohr,1885-10-07 00:00:00,scientist,Libra,Air
Werner Heisenberg,1901-12-05 00:00:00,scientist,Sagittarius,Fire
Erwin Schrodinger,1887-08-12 00:00:00,scientist,Leo,Fire
Max Planck,1858-04-23 00:00:00,scientist,Taurus,Earth
Enrico Fermi,1901-09-29 00:00:00,scientist,Libra,Air
Robert Oppenheimer,1904-04-22 00:00:00,scientist,Taurus,Earth
Linus Pauling,1901-02-28 00:00:00,scientist,Pisces,Water
Jonas Salk,1914-10-28 00:00:00,scientist,Scorpio,Water
Alexander Fleming,1881-08-06 00:00:00,scientist,Leo,Fire
Louis Pasteur,1822-12-27 00:00:00,scientist,Capricorn,Earth
Gregor Mendel,1822-07-20 00:00:00,scientist,Cancer,Water
Sigmund Freud,1856-05-06 00:00:00,scientist,Taurus,Earth
Carl Jung,1875-07-26 00:00:00,scientist,Leo,Fire
Ivan Pavlov,1849-09-26 00:00:00,scientist,Libra,Air
BF Skinner,1904-03-20 00:00:00,scientist,Pisces,Water
Abraham Maslow,1908-04-01 00:00:00,scientist,Aries,Fire
Jean Piaget,1896-08-09 00:00:00,scientist,Leo,Fire
Noam Chomsky,1928-12-07 00:00:00,scientist,Sagittarius,Fire
Claude Shannon,1916-04-30 00:00:00,scientist,Taurus,Earth
John von Neumann,1903-12-28 00:00:00,scientist,Capricorn,Earth
Kurt Godel,1906-04-28 00:00:00,scientist,Taurus,Earth
Bertrand Russell,1872-05-18 00:00:00,scientist,Taurus,Earth
Alfred North Whitehead,1861-02-15 00:00:00,scientist,Aquarius,Air
Ludwig Wittgenstein,1889-04-26 00:00:00,scientist,Taurus,Earth
Blaise Pascal,1623-06-19 00:00:00,scientist,Gemini,Air
Rene Descartes,1596-03-31 00:00:00,scientist,Aries,Fire
Gottfried Leibniz,1646-07-01 00:00:00,scientist,Cancer,Water
Leonhard Euler,1707-04-15 00:00:00,scientist,Aries,Fire
Carl Friedrich Gauss,1777-04-30 00:00:00,scientist,Taurus,Earth
Bernhard Riemann,1826-09-17 00:00:00,scientist,Virgo,Earth
Henri Poincare,1854-04-29 00:00:00,scientist,Taurus,Earth
David Hilbert,1862-01-23 00:00:00,scientist,Aquarius,Air
Emmy Noether,1882-03-23 00:00:00,scientist,Aries,Fire
Srinivasa Ramanujan,1887-12-22 00:00:00,scientist,Capricorn,Earth
Paul Erdos,1913-03-26 00:00:00,scientist,Aries,Fire
John Nash,1928-06-13 00:00:00,scientist,Gemini,Air
Andrew Wiles,1953-04-11 00:00:00,scientist,Aries,Fire
William Shakespeare,1564-04-23 00:00:00,writer,Taurus,Earth
Charles Dickens,1812-02-07 00:00:00,writer,Aquarius,Air
Jane Austen,1775-12-16 00:00:00,writer,Sagittarius,Fire
Emily Bronte,1818-07-30 00:00:00,writer,Leo,Fire
Charlotte Bronte,1816-04-21 00:00:00,writer,Taurus,Earth
Virginia Woolf,1882-01-25 00:00:00,writer,Aquarius,Air
Oscar Wilde,1854-10-16 00:00:00,writer,Libra,Air
Mark Twain,1835-11-30 00:00:00,writer,Sagittarius,Fire
Ernest Hemingway,1899-07-21 00:00:00,writer,Cancer,Water
F Scott Fitzgerald,1896-09-24 00:00:00,writer,Libra,Air
William Faulkner,1897-09-25 00:00:00,writer,Libra,Air
John Steinbeck,1902-02-27 00:00:00,writer,Pisces,Water
Edgar Allan Poe,1809-01-19 00:00:00,writer,Capricorn,Earth
HP Lovecraft,1890-08-20 00:00:00,writer,Leo,Fire
Franz Kafka,1883-07-03 00:00:00,writer,Cancer,Water
Fyodor Dostoevsky,1821-11-11 00:00:00,writer,Scorpio,Water
Leo Tolstoy,1828-09-09 00:00:00,writer,Virgo,Earth
Anton Chekhov,1860-01-29 00:00:00,writer,Aquarius,Air
Marcel Proust,1871-07-10 00:00:00,writer,Cancer,Water
James Joyce,1882-02-02 00:00:00,writer,Aquarius,Air
Samuel Beckett,1906-04-13 00:00:00,writer,Aries,Fire
Albert Camus,1913-11-07 00:00:00,writer,Scorpio,Water
Jean-Paul Sartre,1905-06-21 00:00:00,writer,Cancer,Water
Simone de Beauvoir,1908-01-09 00:00:00,writer,Capricorn,Earth
George Orwell,1903-06-25 00:00:00,writer,Cancer,Water
Aldous Huxley,1894-07-26 00:00:00,writer,Leo,Fire
Ray Bradbury,1920-08-22 00:00:00,writer,Leo,Fire
Isaac Asimov,1920-01-02 00:00:00,writer,Capricorn,Earth
Arthur C Clarke,1917-12-16 00:00:00,writer,Sagittarius,Fire
Philip K Dick,1928-12-16 00:00:00,writer,Sagittarius,Fire
Kurt Vonnegut,1922-11-11 00:00:00,writer,Scorpio,Water
JD Salinger,1919-01-01 00:00:00,writer,Capricorn,Earth
Jack Kerouac,1922-03-12 00:00:00,writer,Pisces,Water
Allen Ginsberg,1926-06-03 00:00:00,writer,Gemini,Air
William S Burroughs,1914-02-05 00:00:00,writer,Aquarius,Air
Hunter S Thompson,1937-07-18 00:00:00,writer,Cancer,Water
Truman Capote,1924-09-30 00:00:00,writer,Libra,Air
Tennessee Williams,1911-03-26 00:00:00,writer,Aries,Fire
Arthur Miller,1915-10-17 00:00:00,writer,Libra,Air
Eugene ONeill,1888-10-16 00:00:00,writer,Libra,Air
Sylvia Plath,1932-10-27 00:00:00,writer,Scorpio,Water
Anne Sexton,1928-11-09 00:00:00,writer,Scorpio,Water
Emily Dickinson,1830-12-10 00:00:00,writer,Sagittarius,Fire
Walt Whitman,1819-05-31 00:00:00,writer,Gemini,Air
Robert Frost,1874-03-26 00:00:00,writer,Aries,Fire
TS Eliot,1888-09-26 00:00:00,writer,Libra,Air
Ezra Pound,1885-10-30 00:00:00,writer,Scorpio,Water
WB Yeats,1865-06-13 00:00:00,writer,Gemini,Air
Dylan Thomas,1914-10-27 00:00:00,writer,Scorpio,Water
Langston Hughes,1901-02-01 00:00:00,writer,Aquarius,Air
Maya Angelou,1928-04-04 00:00:00,writer,Aries,Fire
Toni Morrison,1931-02-18 00:00:00,writer,Aquarius,Air
James Baldwin,1924-08-02 00:00:00,writer,Leo,Fire
Ralph Ellison,1913-03-01 00:00:00,writer,Pisces,Water
Richard Wright,1908-09-04 00:00:00,writer,Virgo,Earth
Zora Neale Hurston,1891-01-07 00:00:00,writer,Capricorn,Earth
Flannery OConnor,1925-03-25 00:00:00,writer,Aries,Fire
Carson McCullers,1917-02-19 00:00:00,writer,Pisces,Water
Harper Lee,1926-04-28 00:00:00,writer,Taurus,Earth
Agatha Christie,1890-09-15 00:00:00,writer,Virgo,Earth
Dorothy Parker,1893-08-22 00:00:00,writer,Leo,Fire
