Feature,Water_Prcp,NonWater_Prcp,Diff_Prcp,Effect_Type,Element,Avg_Prcp,Avg_Tmax
Pluto (Trop),,,,Element_Avg,Earth,24.18810939090654,241.50523582100035
Pluto (Trop),,,,Element_Avg,Air,20.966796577606004,248.80483815949688
Pluto (Trop),,,,Element_Avg,Water,20.400883736206648,247.99957117039392
Pluto (Vedic),21.413290747674182,22.078914219119042,-0.6656234714448601,Sign,,,
Pluto (Vedic),,,,Element_Avg,Fire,23.98147146037919,242.28714978580118
Pluto (Vedic),,,,Element_Avg,Earth,22.34097178862821,247.03351168923373
Pluto (Vedic),,,,Element_Avg,Air,20.43092840458018,247.9891967856997
Pluto (Vedic),,,,Element_Avg,Water,21.413290747674182,248.82193899182863
NorthNode (Trop),21.07405063807557,22.17259029903397,-1.0985396609584015,Sign,,,
NorthNode (Trop),,,,Element_Avg,Fire,22.243877729424202,246.74183043069866
NorthNode (Trop),,,,Element_Avg,Earth,22.363241489302577,245.50706407678695
NorthNode (Trop),,,,Element_Avg,Air,21.909253476068404,246.94406679551787
NorthNode (Trop),,,,Element_Avg,Water,21.07405063807557,247.42741145363797
NorthNode (Vedic),22.007777003760527,21.868375778818287,0.13940122494224028,Sign,,,
NorthNode (Vedic),,,,Element_Avg,Fire,22.203188375527237,245.99557011231133
NorthNode (Vedic),,,,Element_Avg,Earth,21.760320349259807,246.2395621584787
NorthNode (Vedic),,,,Element_Avg,Air,21.638815165527333,247.18223639386656
NorthNode (Vedic),,,,Element_Avg,Water,22.007777003760527,247.15402775779077
SouthNode (Trop),22.363241489302577,21.75012843587341,0.6131130534291671,Sign,,,
SouthNode (Trop),,,,Element_Avg,Fire,21.909253476068404,246.94406679551787
SouthNode (Trop),,,,Element_Avg,Earth,21.07405063807557,247.42741145363797
SouthNode (Trop),,,,Element_Avg,Air,22.243877729424202,246.74183043069866
SouthNode (Trop),,,,Element_Avg,Water,22.363241489302577,245.50706407678695
SouthNode (Vedic),21.760320349259803,21.951446376131564,-0.1911260268717605,Sign,,,
SouthNode (Vedic),,,,Element_Avg,Fire,21.638815165527333,247.18223639386656
SouthNode (Vedic),,,,Element_Avg,Earth,22.007777003760527,247.15402775779077
SouthNode (Vedic),,,,Element_Avg,Air,22.203188375527237,245.99557011231133
SouthNode (Vedic),,,,Element_Avg,Water,21.760320349259807,246.2395621584787
