id,wd_id,wp_id,slug,name,occupation,prob_ratio,gender,twitter,alive,l,hpi_raw,bplace_name,bplace_lat,bplace_lon,bplace_geonameid,bplace_country,birthdate,birthyear,dplace_name,dplace_lat,dplace_lon,dplace_geonameid,dplace_country,deathdate,deathyear,bplace_geacron_name,dplace_geacron_name,is_group,l_,age,non_en_page_views,coefficient_of_variation,hpi,birth_order,total_siblings,sibling_data_count
69880,Q517,69880,Napoleon,Napoleon,POLITICIAN,0.0,M,,False,214,33.998912982987385,Ajaccio,41.9267,8.7369,2640.0,France,1769-08-15,1769.0,"Longwood, Saint Helena",-15.93333333,-5.66666667,2187809.0,"Saint Helena, Ascension and Tristan da Cunha",1821-05-05,1821.0,ajaccio,longwood-saint-helena,False,15.600538422523751,52.0,5230908,5.461619391562965,95.287743,2,9,8
29688374,Q307,29688374,Galileo_Galilei,Galileo Galilei,ASTRONOMER,0.0,M,,False,203,33.92344824945983,Pisa,43.71666667,10.4,24636.0,Italy,1564-02-15,1564.0,Arcetri,43.75485,11.2518,1516706.0,Italy,1642-01-08,1642.0,pisa,arcetri,False,19.1005823723006,78.0,2020893,4.691549352755455,95.07624,1,2,1
2731583,Q352,2731583,Adolf_Hitler,Adolf Hitler,POLITICIAN,0.0,M,,False,242,33.89196834959404,Braunau am Inn,48.25833333,13.035,184475.0,Austria,1889-04-20,1889.0,Führerbunker,52.5125,13.3815,222902.0,Germany,1945-04-30,1945.0,braunau-am-inn,fuhrerbunker,False,14.415766354191454,56.0,7771929,6.2483189783273465,94.988012,5,8,7
5635,Q7322,5635,Christopher_Columbus,Christopher Columbus,EXPLORER,0.0,M,,False,208,33.86338674136098,Genoa,44.41111111,8.93277778,47332321.0,Italy,,1451.0,Valladolid,41.65277778,-4.72361111,69311.0,Spain,1506-05-20,1506.0,genoa,valladolid,False,16.36075832917633,55.0,2652017,5.339777398213551,94.907907,1,3,2
736,Q937,736,Albert_Einstein,Albert Einstein,PHYSICIST,0.0,M,,False,228,33.8345176107783,Ulm,48.4,9.98333333,189455.0,Germany,1879-03-14,1879.0,"Princeton, New Jersey",40.358244,-74.666728,84658.0,United States,1955-04-18,1955.0,ulm,princeton-new-jersey,False,17.603815787962837,76.0,4679204,5.550876614735555,94.826997,1,2,1
14187,Q38370,14187,Henry_VIII_of_England,Henry VIII of England,NOBLEMAN,0.0,M,,False,106,33.771034928049446,Palace of Placentia,51.48222222,-0.00666667,340025.0,United Kingdom,1491-06-28,1491.0,Palace of Whitehall,51.50444444,-0.12555556,323722.0,United Kingdom,1547-01-28,1547.0,palace-of-placentia,palace-of-whitehall,False,20.4516976085034,56.0,2858372,2.56159465283796,94.649076,3,9,8
20408,Q7186,20408,Marie_Curie,Marie Curie,PHYSICIST,0.0,F,,False,189,33.64719809009037,Warsaw,52.23,21.01111111,32908.0,Poland,1867-11-07,1867.0,"Passy, Haute-Savoie",45.9244,6.6872,15790492.0,France,1934-07-04,1934.0,warsaw,passy-haute-savoie,False,19.071778927172563,67.0,3356078,4.099599561567845,94.302002,4,4,3
1095706,Q302,1095706,Jesus,Jesus,RELIGIOUS FIGURE,0.0,M,,False,274,33.62366680250349,Herodian kingdom,31.78333333,35.21666667,33141450.0,Israel,,-4.0,Jerusalem,31.78333333,35.21666667,16043.0,Israel,0030-04-07,33.0,herodian-kingdom,jerusalem,False,17.186766732404482,37.0,4105287,6.748598836421854,94.236051,1,2,1
15992,Q23685,15992,Jimmy_Carter,Jimmy Carter,POLITICIAN,0.0,M,,False,164,33.50493176675334,"Plains, Georgia",32.03361111,-84.39333333,110349.0,United States,1924-10-01,1924.0,"Plains, Georgia",32.03361111,-84.39333333,110349.0,United States,2024-12-29,2024.0,plains-georgia,plains-georgia,False,19.43332416385913,100.0,4140037,3.3005884769473752,93.903276,1,4,3
39660,Q2494,39660,Pope_Benedict_XVI,Pope Benedict XVI,RELIGIOUS FIGURE,0.0,M,pontifex,False,149,33.50252738496087,Marktl,48.25,12.85,1758477.0,Germany,1927-04-16,1927.0,Mater Ecclesiae Monastery,41.90388889,12.45111111,38511305.0,Vatican City,2022-12-31,2022.0,marktl,mater-ecclesiae-monastery,False,14.674375452623195,95.0,10452618,3.846981415032434,93.896537,2,2,1
15924,Q1048,15924,Julius_Caesar,Julius Caesar,POLITICIAN,0.0,M,,False,215,33.46006739986716,Rome,41.89333333,12.48277778,25458.0,Italy,0100-07-01 BC,-100.0,Theatre of Pompey,41.89527778,12.47361111,1657020.0,Italy,0044-03-15 BC,-44.0,rome,theatre-of-pompey,False,13.378248288868791,56.0,2846870,6.129368666530196,93.777536,1,3,2
32603,Q5582,32603,Vincent_van_Gogh,Vincent van Gogh,PAINTER,0.0,M,,False,211,33.27479062150576,Zundert,51.46666667,4.66666667,118760.0,Netherlands,1853-03-30,1853.0,Auvers-sur-Oise,49.0725,2.175,3124632.0,France,1890-07-29,1890.0,zundert,auvers-sur-oise,False,16.97461688277451,37.0,2713578,5.049427383324201,93.258266,1,7,6
11625,Q991,11625,Fyodor_Dostoevsky,Fyodor Dostoevsky,WRITER,0.0,M,,False,178,33.254756450775666,Moscow,55.75583333,37.61722222,19004.0,Russia,1821-11-11,1821.0,Saint Petersburg,59.9375,30.30861111,24320051.0,Russia,1881-02-09,1881.0,moscow,saint-petersburg,False,19.164036859588155,60.0,2124272,4.137260769594686,93.202117,2,4,3
29922,Q11812,29922,Thomas_Jefferson,Thomas Jefferson,POLITICIAN,0.0,M,,False,159,33.24725183532728,"Shadwell, Virginia",38.01238283,-78.41777783,1672352.0,United States,1743-04-13,1743.0,"Charlottesville, Virginia",38.0299,-78.479,91343.0,United States,1826-07-04,1826.0,shadwell-virginia,charlottesville-virginia,False,25.96128581778496,83.0,822449,2.984961478135197,93.181084,1,5,4
18553,Q7742,18553,Louis_XIV_of_France,Louis XIV of France,POLITICIAN,0.0,M,,False,141,33.18574359556876,Château de Saint-Germain-en-Laye,48.89805556,2.09638889,6227909.0,France,1638-09-05,1638.0,Palace of Versailles,48.80480556,2.12033333,53316.0,France,1715-09-01,1715.0,chateau-de-saint-germain-en-laye,palace-of-versailles,False,16.75757788308059,77.0,2324963,3.694284442189808,93.008697,1,2,1
9906294,Q1339,9906294,Johann_Sebastian_Bach,Johann Sebastian Bach,COMPOSER,0.0,M,,False,217,33.10472367706216,Eisenach,50.97611111,10.32055556,59771.0,Germany,1685-03-21,1685.0,Leipzig,51.34,12.375,17955.0,Germany,1750-07-28,1750.0,eisenach,leipzig,False,13.570640107612048,65.0,2364783,5.764858484566326,92.781625,3,3,2
7567080,Q9554,7567080,Martin_Luther,Martin Luther,RELIGIOUS FIGURE,0.0,M,,False,187,33.1000432402979,Eisleben,51.52861111,11.54666667,1081962.0,Germany,1483-11-10,1483.0,Eisleben,51.52861111,11.54666667,1081962.0,Germany,1546-02-18,1546.0,eisleben,eisleben,False,15.170588556328395,63.0,1728947,5.190377478215311,92.768507,1,2,1
32897,Q692,32897,William_Shakespeare,William Shakespeare,WRITER,0.0,M,,False,230,33.035590107674736,Stratford-upon-Avon,52.19277778,-1.70638889,58882.0,United Kingdom,1564-04-23,1564.0,Stratford-upon-Avon,52.19277778,-1.70638889,58882.0,United Kingdom,1616-04-23,1616.0,stratford-upon-avon,stratford-upon-avon,False,12.440431245617184,52.0,2317463,7.118998793987373,92.587866,1,4,3
23805,Q989,23805,Pope_John_Paul_II,Pope John Paul II,RELIGIOUS FIGURE,0.0,M,,False,146,33.02695488036017,Wadowice,49.88333333,19.5,390487.0,Poland,1920-05-18,1920.0,Apostolic Palace,41.90361111,12.45638889,313895.0,Vatican City,2005-04-02,2005.0,wadowice,apostolic-palace,False,12.223640273307948,85.0,10198483,4.228613966073435,92.563665,2,2,1
20076,Q8027,20076,Martin_Luther_King_Jr.,Martin Luther King Jr.,SOCIAL ACTIVIST,0.0,M,,False,178,33.00210664237458,Atlanta,33.74888889,-84.39,3138.0,United States,1929-01-15,1929.0,"Memphis, Tennessee",35.1175,-89.97111111,48607.0,United States,1968-04-04,1968.0,atlanta,memphis-tennessee,False,20.948034863860126,39.0,2145984,3.732730996620132,92.494023,2,3,2
10823,Q1268,10823,Frédéric_Chopin,Frédéric Chopin,COMPOSER,0.0,M,,False,163,32.99551122952576,Żelazowa Wola,52.25,20.31666667,1769345.0,Poland,1810-02-22,1810.0,Paris,48.85666667,2.35222222,22989.0,France,1849-10-17,1849.0,zelazowa-wola,paris,False,21.115505116042744,39.0,1278363,3.411635272891679,92.475538,2,4,3
16743,Q9061,16743,Karl_Marx,Karl Marx,ECONOMIST,0.0,M,,False,206,32.91079756512956,Trier,49.75666667,6.64138889,30317.0,Germany,1818-05-05,1818.0,London,51.50722222,-0.1275,17867.0,United Kingdom,1883-03-14,1883.0,trier,london,False,15.722634661514252,65.0,2206657,5.522829139981783,92.238114,3,5,4
15641,Q855,15641,Joseph_Stalin,Joseph Stalin,POLITICIAN,0.0,M,,False,202,32.903743483918504,"Gori, Georgia",41.96666667,44.1,427368.0,Georgia,1879-12-09,1879.0,Kuntsevo Dacha,55.72444444,37.48583333,27544418.0,Russia,1953-03-05,1953.0,gori-georgia,kuntsevo-dacha,False,13.069314845923463,74.0,4398791,5.754617525514755,92.218344,3,4,3
18945005,Q8597,18945005,Akbar,Akbar,POLITICIAN,0.0,M,,False,153,32.89454079542759,Umerkot,25.36305556,69.7425,4183563.0,Pakistan,1542-10-15,1542.0,Fatehpur Sikri,27.091,77.661,322997.0,India,1605-10-27,1605.0,umerkot,fatehpur-sikri,False,27.35107975377999,63.0,436563,3.4160151978153968,92.192552,3,4,3
8169,Q1067,8169,Dante_Alighieri,Dante Alighieri,WRITER,0.0,M,,False,192,32.87121041743307,Florence,43.77138889,11.25416667,11525.0,Italy,1265-05-30,1265.0,Ravenna,44.41611111,12.20166667,37409.0,Italy,1321-09-14,1321.0,florence,ravenna,False,15.648197664837545,56.0,1169648,4.951038567041896,92.127164,1,2,1
25525,Q9191,25525,René_Descartes,René Descartes,PHILOSOPHER,0.0,M,,False,178,32.869866473966994,"Descartes, Indre-et-Loire",46.9744,0.6986,2428709.0,France,1596-03-31,1596.0,Stockholm,59.32944444,18.06861111,26741.0,Sweden,1650-02-11,1650.0,descartes-indre-et-loire,stockholm,False,17.324907527111506,54.0,1146776,4.58538029417724,92.123398,2,2,1
1273,Q1405,1273,Augustus,Augustus,POLITICIAN,0.0,M,,False,206,32.836762743346185,Rome,41.89333333,12.48277778,25458.0,Italy,,-63.0,Nola,40.92611111,14.5275,24570264.0,Italy,0014-08-19,14.0,rome,nola,False,12.701614799103153,77.0,1841935,6.1206433518032535,92.030619,1,3,2
21473,Q9036,21473,Nikola_Tesla,Nikola Tesla,INVENTOR,0.0,M,,False,169,32.790078724683255,"Smiljan, Croatia",44.56666667,15.31666667,1505797.0,Croatia,1856-07-10,1856.0,New York City,40.71277778,-74.00611111,645042.0,United States,1943-01-07,1943.0,smiljan-croatia,new-york-city,False,15.8719005189834,87.0,2903743,4.858696253499976,91.899779,1,2,1
125248,Q43274,125248,"Charles,_Prince_of_Wales","Charles, Prince of Wales",NOBLEMAN,0.0,M,,True,156,32.71984071675369,Buckingham Palace,51.50083333,-0.14194444,3969.0,United Kingdom,1948-11-14,1948.0,,,,,,,,buckingham-palace,,False,19.989662216812896,77.0,3486442,3.297245290877957,91.702925,1,4,3
24176,Q5593,24176,Pablo_Picasso,Pablo Picasso,PAINTER,0.0,M,,False,204,32.71256142723959,Málaga,36.71944444,-4.42,184763.0,Spain,1881-10-25,1881.0,Mougins,43.6008,6.9956,4981184.0,France,1973-04-08,1973.0,malaga,mougins,False,16.0807478052733,92.0,2196154,5.291516108518564,91.682523,1,2,1
29778,Q8743,29778,Thomas_Edison,Thomas Edison,INVENTOR,0.0,M,,False,189,32.70034858241976,"Milan, Ohio",41.29333333,-82.60138889,150899.0,United States,1847-02-11,1847.0,"West Orange, New Jersey",40.785755,-74.265058,21229975.0,United States,1931-10-18,1931.0,milan-ohio,west-orange-new-jersey,False,18.010684569970987,84.0,1666698,5.1002904177375,91.648295,2,2,1
26992,Q8474,26992,Suleiman_the_Magnificent,Suleiman the Magnificent,POLITICIAN,0.0,M,,False,131,32.67532408016906,Trabzon,41.005,39.7225,62653.0,Türkiye,1494-11-06,1494.0,Szigetvár,46.0475,17.79944444,3271543.0,Hungary,1566-09-06,1566.0,trabzon,szigetvar,False,13.484960815219203,72.0,1952126,3.474819041184172,91.578159,1,7,6
11015252,Q1394,11015252,Vladimir_Lenin,Vladimir Lenin,POLITICIAN,0.0,M,,False,209,32.64952577567437,Ulyanovsk,54.31666667,48.36666667,30876339.0,Russia,1870-04-22,1870.0,Gorki Leninskiye,55.5045,37.76502778,381041.0,Russia,1924-01-21,1924.0,ulyanovsk,gorki-leninskiye,False,13.561755118122129,54.0,2821509,5.700162893982687,91.505855,3,6,5
8145410,Q1035,8145410,Charles_Darwin,Charles Darwin,BIOLOGIST,0.0,M,,False,205,32.63939654270699,Shrewsbury,52.708,-2.754,23772249.0,United Kingdom,1809-02-12,1809.0,Downe,51.3359,0.0535,910931.0,United Kingdom,1882-04-19,1882.0,shrewsbury,downe,False,16.516206387354718,73.0,1470062,5.438843844486087,91.477466,6,7,6
26983,Q8581,26983,Saladin,Saladin,POLITICIAN,0.0,M,,False,141,32.59829238672919,Tikrit,34.61,43.68,199988.0,Iraq,,1138.0,Damascus,33.51305556,36.29194444,8914.0,Syria,,1193.0,tikrit,damascus,False,13.449627623543163,55.0,1962054,4.347168951095833,91.362265,2,5,4
1329090,Q5152,1329090,Mustafa_Kemal_Atatürk,Mustafa Kemal Atatürk,POLITICIAN,0.0,M,,False,205,32.56299272533312,Thessaloniki,40.64027778,22.93472222,40471.0,Greece,,1881.0,Dolmabahçe Palace,41.03944444,29.00166667,562898.0,Türkiye,1938-11-10,1938.0,thessaloniki,dolmabahce-palace,False,15.22573451907046,57.0,2044380,5.178777217897163,91.263332,1,2,1
20754760,Q7523,20754760,Kublai_Khan,Kublai Khan,POLITICIAN,0.0,M,,False,101,32.52271832590288,,,,,China,1215-09-23,1215.0,Khanbaliq,39.93333333,116.4,870981.0,China,1294-02-18,1294.0,,khanbaliq,False,22.70519086785602,79.0,692771,2.4207000331131714,91.150456,2,6,5
26743,Q9215,26743,Sigmund_Freud,Sigmund Freud,PSYCHOLOGIST,0.0,M,,False,188,32.49975351446859,Příbor,49.64083333,18.145,2663085.0,Czechia,1856-05-06,1856.0,Hampstead,51.5541,-0.1744,94033.0,United Kingdom,1939-09-23,1939.0,pribor,hampstead,False,15.389700583390002,83.0,1951355,5.078427544240064,91.086093,1,7,6
45080,Q7328,45080,Vasco_da_Gama,Vasco da Gama,EXPLORER,0.0,M,,False,167,32.491718997037594,Sines,37.95472222,-8.86444444,1854133.0,Portugal,,1460.0,Kochi,9.93119444,76.26730556,56274.0,India,1524-12-24,1524.0,sines,kochi,False,17.719057509640873,64.0,778821,4.673829693412543,91.063575,3,3,2
4068,Q1290,4068,Blaise_Pascal,Blaise Pascal,MATHEMATICIAN,0.0,M,,False,136,32.48261107474195,Clermont-Ferrand,45.7831,3.0824,83240.0,France,1623-06-19,1623.0,Paris,48.85666667,2.35222222,22989.0,France,1662-08-19,1662.0,clermont-ferrand,paris,False,21.402220761897237,39.0,667804,3.343318644207056,91.038048,2,3,2
16509,Q7226,16509,Joan_of_Arc,Joan of Arc,MILITARY PERSONNEL,0.0,F,,False,154,32.4779047128861,Domrémy-la-Pucelle,48.4431,5.6758,238511.0,France,,1412.0,Rouen,49.44277778,1.08861111,49114.0,France,1431-05-30,1431.0,domremy-la-pucelle,rouen,False,11.924876781174524,19.0,2150982,5.040882077249451,91.024858,3,4,3
99598,Q7192,99598,Qin_Shi_Huang,Qin Shi Huang,POLITICIAN,0.0,M,,False,181,32.46433365170329,Handan,36.601,114.487,1375980.0,China,0258-01-27 BC,-258.0,Guangzong County,37.0747,115.1426,12823502.0,China,0210-09-10 BC,-210.0,handan,guangzong-county,False,13.93111373976432,48.0,1086683,4.866828645401935,90.986823,3,3,2
19242322,Q5879,19242322,Johann_Wolfgang_von_Goethe,Johann Wolfgang von Goethe,WRITER,0.0,M,,False,188,32.45635548594109,Free City of Frankfurt,50.11027778,8.68222222,7501745.0,Germany,1749-08-28,1749.0,Weimar,50.98111111,11.32944444,47198.0,Germany,1832-03-22,1832.0,free-city-of-frankfurt,weimar,False,16.17761823515093,83.0,1142818,4.889332353746979,90.964463,1,2,1
39034,Q132537,39034,J._Robert_Oppenheimer,J. Robert Oppenheimer,PHYSICIST,0.0,M,,False,101,32.41565602889772,New York City,40.71277778,-74.00611111,645042.0,United States,1904-04-22,1904.0,"Princeton, New Jersey",40.358244,-74.666728,84658.0,United States,1967-02-18,1967.0,new-york-city,princeton-new-jersey,False,16.84047683117341,63.0,3673331,2.824119709667406,90.850395,1,2,1
63747,Q36107,63747,Muhammad_Ali,Muhammad Ali,BOXER,0.0,M,MuhammadAli,False,139,32.37001654340588,"Louisville, Kentucky",38.25611111,-85.75138889,58592.0,United States,1942-01-17,1942.0,"Scottsdale, Arizona",33.49305556,-111.92611111,106659.0,United States,2016-06-03,2016.0,louisville-kentucky,scottsdale-arizona,False,20.28883518381827,74.0,1826586,3.0788364044163883,90.722483,1,2,1
46755,Q280856,46755,George_VI,George VI,POLITICIAN,0.0,M,,False,108,32.365143093219835,York Cottage,52.8263,0.5162,19787150.0,United Kingdom,1895-12-14,1895.0,Sandringham House,52.82972222,0.51388889,977878.0,United Kingdom,1952-02-06,1952.0,york-cottage,sandringham-house,False,20.185788349250977,57.0,1875371,2.623680102500458,90.708824,2,6,5
15872,Q892,15872,J._R._R._Tolkien,J. R. R. Tolkien,WRITER,0.0,M,,False,156,32.35916623725988,Bloemfontein,-29.11666667,26.21666667,44552.0,South Africa,1892-01-03,1892.0,Bournemouth,50.72001,-1.87995,165530.0,United Kingdom,1973-09-02,1973.0,bloemfontein,bournemouth,False,18.511506772681926,81.0,1403495,3.523476555926615,90.692073,1,2,1
51695,Q51056,51695,Franz_Joseph_I_of_Austria,Franz Joseph I of Austria,POLITICIAN,0.0,M,,False,84,32.34541034913404,Schönbrunn Palace,48.184516,16.311865,165202.0,Austria,1830-08-18,1830.0,Schönbrunn Palace,48.184516,16.311865,165202.0,Austria,1916-11-21,1916.0,schonbrunn-palace,schonbrunn-palace,False,15.771172730264098,86.0,3679563,2.5975286771198967,90.65352,1,6,5
51271,Q7732,51271,Louis_XVI_of_France,Louis XVI of France,POLITICIAN,0.0,M,,False,109,32.28960478877277,Palace of Versailles,48.80480556,2.12033333,53316.0,France,1754-08-23,1754.0,Place de la Concorde,48.8656331,2.3212357,80899.0,France,1793-01-21,1793.0,palace-of-versailles,place-de-la-concorde,False,17.08417103602114,39.0,1695704,3.17110078046096,90.497115,5,9,8
21444,Q1399,21444,Niccolò_Machiavelli,Niccolò Machiavelli,PHILOSOPHER,0.0,M,,False,151,32.27143365505152,Florence,43.77138889,11.25416667,11525.0,Italy,1469-05-03,1469.0,Sant'Andrea in Percussina,43.68277778,11.19722222,2774991.0,Italy,1527-06-21,1527.0,florence,santandrea-in-percussina,False,14.836253467716782,58.0,1098037,4.707703677776542,90.446188,1,2,1
9549,Q16867,9549,Edgar_Allan_Poe,Edgar Allan Poe,WRITER,0.0,M,,False,148,32.2380171264127,Boston,42.36027778,-71.05777778,24437894.0,United States,1809-01-19,1809.0,Baltimore,39.28944444,-76.61527778,26997138.0,United States,1849-10-07,1849.0,boston,baltimore,False,18.127770605502946,40.0,1071091,3.7170471843683655,90.352532,2,2,1
11319,Q37388,11319,Francis_Bacon,Francis Bacon,PHILOSOPHER,0.0,M,,False,116,32.22658186866594,"Strand, London",51.5114,-0.119,314644.0,United Kingdom,1561-01-22,1561.0,Highgate,51.5716,-0.1448,94097.0,United Kingdom,1626-04-09,1626.0,strand-london,highgate,False,22.6573451568544,65.0,491991,2.877071370204788,90.320483,7,7,6
10671,Q9358,10671,Friedrich_Nietzsche,Friedrich Nietzsche,PHILOSOPHER,0.0,M,,False,174,32.17258584525283,Röcken,51.24083333,12.11611111,2764531.0,Germany,1844-10-15,1844.0,Weimar,50.98111111,11.32944444,47198.0,Germany,1900-08-25,1900.0,rocken,weimar,False,14.145434908003212,56.0,1829924,5.0229458887028855,90.16915,1,2,1
5233,Q1043,5233,Carl_Linnaeus,Carl Linnaeus,BIOLOGIST,0.0,M,,False,182,32.170554080403406,Råshult,56.618,14.202,2349684.0,Sweden,1707-05-23,1707.0,Linnaeus's Hammarby,59.8175,17.77638889,32275733.0,Sweden,1778-01-10,1778.0,rashult,linnaeuss-hammarby,False,19.17106060232307,71.0,578868,4.804410191779482,90.163455,2,5,4
13550,Q5673,13550,Hans_Christian_Andersen,Hans Christian Andersen,WRITER,0.0,M,,False,180,32.160487174622034,Odense,55.39583333,10.38861111,22512.0,Denmark,1805-04-02,1805.0,Østerbro,55.711,12.578,2979147.0,Denmark,1875-08-04,1875.0,odense,osterbro,False,16.651103111045117,70.0,987100,4.681347278968915,90.135241,2,2,1
40112,Q5577,40112,Salvador_Dalí,Salvador Dalí,PAINTER,0.0,M,,False,201,32.086376890902514,Figueres,42.26666667,2.965,61402.0,Spain,1904-05-11,1904.0,Figueres,42.26666667,2.965,61402.0,Spain,1989-01-23,1989.0,figueres,figueres,False,15.953129072777902,85.0,1335098,5.07075529265459,89.927535,1,2,1
7426,Q81506,7426,Charles_I_of_England,Charles I of England,POLITICIAN,0.0,M,,False,93,32.077727316884534,Dunfermline Palace,56.0694,-3.4638,1141840.0,United Kingdom,1600-11-19,1600.0,Palace of Whitehall,51.50444444,-0.12555556,323722.0,United Kingdom,1649-01-30,1649.0,dunfermline-palace,palace-of-whitehall,False,20.049047373219484,49.0,763304,2.447106052299334,89.903293,4,7,6
5142,Q882,5142,Charlie_Chaplin,Charlie Chaplin,ACTOR,0.0,M,ChaplinOfficial,False,197,32.05910850714432,Walworth,51.4898,-0.0905,94363.0,United Kingdom,1889-04-16,1889.0,Corsier-sur-Vevey,46.46666667,6.85,1591188.0,Switzerland,1977-12-25,1977.0,walworth,corsier-sur-vevey,False,12.993383592213668,88.0,2183221,5.907500325067538,89.85111,2,3,2
5314,Q3044,5314,Charlemagne,Charlemagne,POLITICIAN,0.0,M,,False,161,32.0590318082172,Aachen,50.77555556,6.08361111,1520.0,Germany,0748-04-02,748.0,Aachen,50.77555556,6.08361111,1520.0,Germany,0814-01-28,814.0,aachen,aachen,False,10.85781559673703,66.0,1751329,5.653782864561399,89.850895,1,16,15
46823,Q269412,46823,George_V,George V,POLITICIAN,0.0,M,,False,98,32.057613329475224,Marlborough House,51.505,-0.13583333,212748.0,United Kingdom,1865-06-03,1865.0,Sandringham House,52.82972222,0.51388889,977878.0,United Kingdom,1936-01-20,1936.0,marlborough-house,sandringham-house,False,19.61320871539364,71.0,1474359,2.53305493614123,89.84692,2,6,5
18622119,Q7243,18622119,Leo_Tolstoy,Leo Tolstoy,WRITER,0.0,M,,False,183,32.046635269039186,Yasnaya Polyana,54.07611111,37.52611111,5334248.0,Russia,1828-09-09,1828.0,Lev Tolstoy (rural locality),53.21666667,39.45,5622425.0,Russia,1910-11-20,1910.0,yasnaya-polyana,lev-tolstoy-rural-locality,False,13.051721550077549,82.0,1717518,5.352660992195569,89.816152,2,4,3
